date,commodity,actual,predicted,residual,model
2025-01-03,Carrots,0.47,0.4626419674702603,0.007358032529739655,"ARIMAX(1,1,1)+xreg"
2025-01-10,Carrots,0.47,0.46723071976856756,0.002769280231432414,"ARIMAX(1,1,1)+xreg"
2025-01-17,Carrots,0.47,0.47113432994367854,-0.0011343299436785692,"ARIMAX(1,1,1)+xreg"
2025-01-24,Carrots,0.45,0.47784268405771424,-0.02784268405771423,"ARIMAX(1,1,1)+xreg"
2025-01-31,Carrots,0.45,0.48539102193311745,-0.03539102193311744,"ARIMAX(1,1,1)+xreg"
2025-02-07,Carrots,0.44,0.49471087503212197,-0.054710875032121964,"ARIMAX(1,1,1)+xreg"
2025-02-14,Carrots,0.44,0.5036463953112534,-0.06364639531125343,"ARIMAX(1,1,1)+xreg"
2025-02-21,Carrots,0.49,0.5130911620738352,-0.023091162073835214,"ARIMAX(1,1,1)+xreg"
2025-02-28,Carrots,0.49,0.5229118797624749,-0.032911879762474894,"ARIMAX(1,1,1)+xreg"
2025-03-07,Carrots,0.43,0.5231074873796617,-0.09310748737966174,"ARIMAX(1,1,1)+xreg"
2025-03-14,Carrots,0.43,0.533367382947534,-0.10336738294753406,"ARIMAX(1,1,1)+xreg"
2025-03-21,Carrots,0.45,0.5434759198683081,-0.09347591986830811,"ARIMAX(1,1,1)+xreg"
2025-03-28,Carrots,0.45,0.5533955320011499,-0.10339553200114987,"ARIMAX(1,1,1)+xreg"
2025-04-04,Carrots,0.45,0.5571625677901573,-0.10716256779015726,"ARIMAX(1,1,1)+xreg"
2025-04-11,Carrots,0.45,0.5666078766401518,-0.11660787664015176,"ARIMAX(1,1,1)+xreg"
2025-04-18,Carrots,0.47,0.5751444599357469,-0.10514445993574695,"ARIMAX(1,1,1)+xreg"
2025-04-25,Carrots,0.47,0.5829703662670802,-0.11297036626708024,"ARIMAX(1,1,1)+xreg"
2025-05-02,Carrots,0.52,0.5925520100284867,-0.07255201002848666,"ARIMAX(1,1,1)+xreg"
2025-05-09,Carrots,0.52,0.5995439953299602,-0.07954399532996015,"ARIMAX(1,1,1)+xreg"
2025-05-16,Carrots,0.52,0.6046328994019936,-0.08463289940199359,"ARIMAX(1,1,1)+xreg"
2025-05-23,Carrots,0.52,0.6086521801896061,-0.08865218018960608,"ARIMAX(1,1,1)+xreg"
2025-05-30,Carrots,0.55,0.6115483135389047,-0.061548313538904664,"ARIMAX(1,1,1)+xreg"
2025-06-06,Carrots,0.55,0.6128990583211408,-0.06289905832114073,"ARIMAX(1,1,1)+xreg"
2025-06-13,Carrots,0.58,0.6126364724036033,-0.032636472403603345,"ARIMAX(1,1,1)+xreg"
2025-06-20,Carrots,0.58,0.6120082603447319,-0.03200826034473192,"ARIMAX(1,1,1)+xreg"
2025-06-27,Carrots,0.74,0.6102107632243645,0.12978923677563547,"ARIMAX(1,1,1)+xreg"
2025-07-04,Carrots,0.74,0.6004422780124339,0.1395577219875661,"ARIMAX(1,1,1)+xreg"
2025-07-11,Carrots,0.62,0.596669794647191,0.02333020535280894,"ARIMAX(1,1,1)+xreg"
2025-07-18,Carrots,0.62,0.5916179070461278,0.028382092953872173,"ARIMAX(1,1,1)+xreg"
